,confidence_power,imputed pseudocluster,conf_bool,conf_scores
5_18_1470657,0.995,0.4881578083209717,True,0.1551480931426843
5_18_1470682,0.994,0.21413453143854305,True,0.14914598028240889
5_18_1470709,0.995,0.24621296294564823,True,0.1583387713421388
5_18_1471611,0.92,0.24404304245916225,True,0.07844996958715911
5_18_1501725,0.122,0.15003116379260695,False,-0.06310966818034136
5_18_1510247,0.173,0.15262448285643548,False,-0.05175520084736096
5_18_1510446,0.983,0.18729924703447443,True,0.12419320113010446
5_18_1510484,0.91,0.24876714221173832,True,0.075385727398384
5_18_1510531,0.713,0.3093997370765434,True,0.03044072528923636
5_18_1511199,0.986,0.213339611501712,True,0.1293330663637785
5_19_1810289,0.073,0.5575865960931872,False,-0.08099228709663664
5_19_2030270,0.651,0.19752162302811255,True,0.022047694839420262
5_19_2030319,0.316,0.3192065796631225,False,-0.027674512097842774
5_19_2041963,0.806,0.22816005397003714,True,0.04726972789612294
5_19_2050258,0.54,0.4227744682859148,True,0.005196773429002488
5_19_2050293,0.907,0.4262394836264365,True,0.07509801923023274
5_19_2050569,0.614,0.2508097338653718,True,0.01578904549074822
5_19_2050599,0.791,0.4610083976623194,True,0.04341925200363017
5_19_2131561,0.934,0.2507249082105836,True,0.08285872519325155
5_19_2131779,0.392,0.41500773042179573,False,-0.015037283021372305
5_19_2131803,0.681,0.2240450025728133,True,0.02593924685432414
5_19_2131824,0.77,0.2634821456461522,True,0.03966148286436211
5_19_2131844,0.936,0.4071218554144004,True,0.08425767229418202
5_19_2131854,0.202,0.41586546637570465,False,-0.04692184264791721
5_19_2131909,0.492,0.5925744481811474,False,-0.00108934839095709
5_19_2131932,0.717,0.39149095356148483,True,0.031054843512557606
5_19_2132056,0.449,0.33803669342038195,False,-0.006874138935362595
5_19_2132072,0.81,0.31555114780598587,True,0.04881720163136993
5_19_2132093,0.353,0.2725855096639693,False,-0.022315342357659196
5_19_2132100,0.257,0.3356295519529067,False,-0.037083262727475086
5_19_2132110,0.679,0.37812188095077437,True,0.02562628478256379
5_19_2132119,0.594,0.5932380363929848,True,0.012730023450776007
5_19_2132129,0.567,0.3760658569636271,True,0.00998352855416107
5_19_2132141,0.764,0.44808145457335635,True,0.038675598688626356
5_19_2132143,0.619,0.34495090966206093,True,0.01697077871143504
5_19_2132181,0.21,0.31525507782237616,False,-0.045834225967403164
5_19_2132182,0.438,0.4242617483178406,False,-0.00884733998602738
5_19_2132186,0.745,0.4170033955700028,True,0.03593848400017319
5_19_2132205,0.587,0.32364495995127057,True,0.011886095811518338
5_19_2132207,0.841,0.3118243354434917,True,0.056800459111991275
5_19_2132212,0.842,0.5054497975090151,True,0.05695039537644764
5_19_2132229,0.678,0.3645794831258126,True,0.025274279495784424
5_19_2132256,0.81,0.41590661743052276,True,0.04820626386685911
5_19_2132257,0.888,0.3753663938136679,True,0.06888771610968969
5_19_2132268,0.445,0.47680092078910297,False,-0.007651207243728919
5_19_2132274,0.719,0.41811466144319814,True,0.03125523919221951
5_19_2132275,0.81,0.3029607795952007,True,0.04908483108477779
5_19_2132278,0.953,0.40047948803276695,True,0.0977602197323546
5_19_2140173,0.22,0.5631222302299486,False,-0.043689070149882214
5_19_2140178,0.839,0.24202336077303327,True,0.056545854348340696
5_19_2140184,0.594,0.42080790822938885,True,0.012766831854099325
5_19_2140198,0.617,0.35920884006218584,True,0.01649797525324037
5_19_2140209,0.569,0.3829926723662507,True,0.010132136449363727
5_19_2140232,0.739,0.23794870489549283,True,0.034985754500424626
